TimeDateStamp,Characteristics,MajorLinkerVersion,SizeOfInitializedData,AddressOfEntryPoint,CheckSum,DllCharacteristics,SectionMinEntropy,SectionMaxPhysical,SectionMaxChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryResource,ImageDirectoryEntrySecurity,Malware
1236512358,34,8,189440,51316,295281,32832,0.0,188416,3758096608,7,152,0,77824,0,1
1365109591,258,9,139264,84654,0,33088,3.815280874881673,205680,3791650880,16,311,0,294912,346112,1
1438777028,14,6,20480,27364,0,0,0.1035382311540193,24065,3221225536,6,176,0,40960,0,1
1354629311,783,2,28160,16685,14174816,32768,0.0,638976,3224371328,8,155,0,1003520,14109472,1
1386631250,783,2,89600,4416,0,0,0.0,42916,3227516992,2,43,0,73728,90624,1
708992537,33167,2,15360,40000,678445944,0,0.0,37732,3221225536,8,96,0,69632,664744,1
1391514521,258,10,282112,5494,2018190664,33088,2.1048463591905904,263656,3221225536,3,74,0,61440,314368,1
708992537,33167,2,13824,42488,500842,32768,0.0,40240,3221225536,8,96,0,69632,476984,1
1412168525,259,10,162816,242287,943322,33024,1.069485762189729,456556,3221225536,14,329,16,643072,930128,1
1363078305,258,8,318976,5339,385997,34112,0.0,176128,3221225536,3,41,0,20480,327680,1
1426068823,8450,11,20992,24384,191011,448,1.5880103122318203,128037,3355443264,2,129,0,155648,149504,1
1204848333,259,8,610304,221063,923773,0,2.923004119146296,520408,3221225536,13,627,0,331776,856064,1
1408580724,259,9,841728,53282,0,32768,4.683234229428167,586832,3221225536,7,115,0,897024,893688,1
1253844286,34,9,46080,242652,332591,0,0.2670129782599745,248872,3791650848,4,97,0,307200,286720,1
1300732890,8462,6,4096,48240,0,0,0.0,32768,3758096512,4,8,2,0,0,1
1392230476,258,11,130048,15741,213271,33088,2.7183438883560718,70652,3221225536,7,105,0,122880,192512,1
1165628186,271,7,245760,141443,0,0,3.3190537099010684,225364,3221225536,8,204,0,0,0,1
1013346937,271,6,0,4160,0,0,1.8660830721842987,77824,3758096416,2,2,0,0,0,1
1399209558,258,10,383488,59882,520950,33088,4.226479277275959,334084,3221225536,7,113,0,172032,503552,1
1433043881,258,8,1024,233678,0,0,0.0,225492,1610612768,1,1,0,237568,0,1
1433141554,271,6,4096,107328,0,0,0.0,90112,3758096512,6,11,0,0,0,1
1309982321,8462,5,1536,4484,0,0,0.4243571372193959,566,3221225536,1,8,0,0,0,1
1260053446,271,6,119808,12860,0,32768,0.0,110488,3758096448,8,155,0,184320,167512,1
1236385374,34,8,41472,219616,317831,0,0.2599628992083401,224244,3791650848,4,96,0,282624,259072,1
1404722825,258,9,667648,9467,2018179856,33088,0.2935943073116089,794624,3758096416,4,7,0,798720,303616,1
1348527273,271,6,20480,4636,108041,0,0.0,72192,3221225536,9,50,0,86016,0,1
1393483319,775,2,285696,4672,542991,0,0.0,245368,3221225600,4,76,0,290816,0,1
708992537,33167,2,17920,42488,0,32768,0.0,40240,3221225536,8,96,0,69632,0,1
1160675868,259,8,334848,4300,370858,0,0.1740519020032351,2400256,3791650880,2,49,3,16384,0,1
1287238958,271,8,4096,1223360,0,0,0.0,1097728,3758096512,5,10,0,1228800,0,1
1356356550,258,10,31744,7884,0,34112,0.0611628522411544,32765,3221225536,7,87,0,49152,65536,1
1390928480,258,10,282112,5494,2018189464,33088,2.103666069430792,263656,3221225536,3,74,0,61440,314368,1
1023816237,8462,6,77824,237568,0,0,2.3245900528355423,151890,3758096416,6,146,4,212992,0,1
1384626370,259,9,235008,120536,0,33024,2.5468772804571067,209028,3221225536,10,211,0,319488,0,1
1260053532,271,6,308224,12538,595921,32768,0.0,298072,3221225600,8,155,0,614400,536944,1
1445122529,271,6,12288,7708,0,0,0.7991484107631397,4010,3221225536,5,58,0,16384,0,1
1403690802,258,9,598528,15180,2018160408,33088,0.2935943073116089,716800,3758096416,4,7,0,720896,284160,1
1402101078,258,8,17920,301303,0,34112,0.1019104256627077,293117,1610612768,1,1,0,303104,0,1
1445166607,259,9,369664,185661,0,32768,3.897412553105776,338676,3221225536,6,345,0,409600,0,1
1354318812,259,10,8192,766864,354800,33088,0.0,430080,3758096512,9,14,0,770048,342016,1
1440873830,8450,12,275968,115198,573263,320,1.440021112699356,278942,3221225536,4,130,1,544768,538112,1
1376814218,258,11,693760,168614,933417,32832,4.873235133720142,380758,3221225536,3,99,0,888832,0,1
612541029,271,6,43008,6219,0,0,0.0,249856,3758096416,1,11,0,0,0,1
23948438,15,1,32768,17668,0,0,2.747068665469233,14836,3221225536,5,335,0,49152,0,1
1412656826,271,6,186368,12846,2781590,34112,0.0,229376,3221225600,8,166,0,446464,2734344,1
1406792893,258,8,1536,45060,35036,34112,0.0,12632064,3758096608,1,2,0,32768,0,1
1363078305,258,8,305664,5339,366598,34112,0.0,173056,3221225536,3,41,0,20480,314368,1
1440505317,258,10,120832,116772,334964,33088,4.782373846990817,185333,3221225536,11,188,0,270336,307200,1
13644,271,6,98304,18672,0,0,2.684969292642428,56130,3221225536,5,87,0,135168,0,1
1334643107,259,8,14336,4829,73064,1024,3.36966800098385,12608,1610612768,2,17,0,12288,17504,1
1126362626,33183,9,147968,17424,1652092,0,0.8899065542076487,276668,3221225536,3,38,0,434176,0,1
1388412458,258,9,353792,53602,2018353480,33088,2.5217680569047323,288604,3221225536,6,216,0,180224,477184,1
1438594507,258,10,75776,58012,205533,33088,3.174084775881985,112856,3221225536,4,100,0,167936,182272,1
1393002213,258,10,308736,14203,2018244368,33088,3.525679439152665,281540,3221225536,3,75,0,98304,368128,1
1391514521,258,10,282112,5494,2018190656,33088,2.1048463591905904,263656,3221225536,3,74,0,61440,314368,1
1398933413,258,11,387584,17531,2018369176,33088,5.443037668806896,299192,3221225536,4,90,0,200704,494080,1
708992537,33166,2,21504,49600,2456730,32768,0.0,47336,3221225536,11,114,0,86016,2425248,1
708992537,33166,2,21504,49600,3026061,32768,0.0,47336,3221225536,11,114,0,86016,2953112,1
1363078305,258,8,309760,5339,342419,34112,0.0,177152,3221225536,3,41,0,20480,318464,1
1182949341,271,7,135168,434408,161970,0,4.7710863133362285,8446492,3221225536,0,0,0,9007104,159744,1
1398497033,258,8,1536,48814,0,34112,0.0776331623432416,40628,1610612768,1,1,0,49152,0,1
1364584891,258,11,751104,182486,982344,32832,4.856975272788313,409462,3221225536,3,99,0,958464,0,1
1309291194,259,8,28672,2073136,0,0,0.0,1675264,3758096512,14,19,0,2076672,424792,1
1363078305,258,8,321024,5339,396253,34112,0.0,178176,3221225536,3,41,0,20480,329728,1
1333224430,8450,9,20480,21862,99689,320,4.425705650143729,24660,3221225536,5,84,4,53248,0,1
708992537,33166,2,131072,917505,381680,0,0.0,761856,3758096480,17,19,0,868352,326656,1
1435013409,258,11,34816,4994734,5081793,34112,0.1019104256627077,4986548,1610612768,1,1,0,4997120,0,1
1339247964,34,9,165376,1074142929,0,33088,0.0,326734,3221225536,4,167,0,471040,0,1
1395424811,259,9,59904,56667,263089,33024,2.428128740182515,158206,3221225536,3,94,0,196608,219136,1
2099200,271,5,43008,6760,0,0,0.0,65536,3221225600,1,11,0,0,0,1
676557459,259,6,12288,15329,88003,0,2.5841023178919005,2330298,2147483712,2,21,0,20480,0,1
1363078305,258,8,309760,5339,342830,34112,0.0,177152,3221225536,3,41,0,20480,318464,1
1368036359,783,0,131072,4434,0,1,0.0,126828,3221225600,3,38,0,16384,0,1
1306950424,258,8,225280,14764,0,0,1.5605519120160485,187352,3221225536,1,100,0,167936,0,1
1290097655,271,6,35328,84740,153019,0,0.0203931352360849,104938,3221226048,4,122,0,159744,0,1
1285441344,34,10,28160,35132,126879,33088,2.340448374667434,58710,3221225536,3,74,0,102400,0,1
1126119805,271,6,53248,4188,0,0,0.1148955836716056,106496,3758096448,3,52,0,45056,0,1
1413340348,259,9,31744,14031,0,32768,0.0,53307,3221225536,0,0,0,86016,883208,1
708992537,33167,2,13824,42488,489921,32768,0.0,40240,3221225536,8,96,0,69632,477008,1
1399474927,258,10,394752,59901,543139,33088,4.190376474673159,347600,3221225536,7,112,0,172032,514816,1
